Total human exposures,Age:< 12 months,Age:1 year,Age:2 years,Age:3 years,Age:4 years,Age:5 years,Age:6-12 years,Age:13-19 years,Unintentional,ReasonUn:General,ReasonUn:Environmental,ReasonUn:Occupational,ReasonUn:Therapeutic Error,ReasonUn:Misuse,Intentional,ReasonInt:Suspected Suicide,ReasonInt:Misuse,ReasonInt:Abuse,ReasonInt:Unknown,Other,ReasonOther:Malicious,ReasonOther:Adverse Reaction/Drug,ReasonOther:Adverse Reaction/Other,Animal Exposures,Information Calls,MS:On site/non Healthcare Facility,MS:Healthcare Facility,MS:Refused Referral,MO:No Effect,MO:Minor Effect,MO:Moderate Effect,MO:Major Effect,MO:Death,MO:Other/Unknown,Year,County,ReasonUn:Other/Unknown,ReasonOther:Withdrawal,ReasonOther:Adverse Reaction/Food,Age:>20 years,ReasonUn:Botulism,ReasonUn:Bite/Sting,ReasonOther:Contamination/ Tampering,Age: Unknown All,ReasonUn: Unknown All,ReasonOther: Unknown All,MS: Unknown All
540,17,82,106,31,15,12,33,54,429,309,7,3,63,38,101,71,15,11,4,10,0,4,2,20,645,379,146,5,177,317,25,5,0,16,2006,"Allegany County, MD",NA,NA,NA,374,3,6,0,3,0,4,10
557,30,84,83,34,15,9,40,33,434,303,2,3,81,35,104,73,5,20,6,18,3,12,1,28,603,385,149,7,193,320,19,8,1,16,2007,"Allegany County, MD",NA,NA,NA,458,4,6,0,0,0,2,16
584,28,81,91,54,10,17,35,44,460,297,4,7,93,49,105,83,10,10,2,18,4,9,4,33,556,416,149,7,187,353,22,3,1,16,2008,"Allegany County, MD",NA,NA,NA,446,1,9,0,1,0,1,12
599,25,98,76,29,21,12,43,37,457,272,3,10,112,50,125,86,16,18,5,17,0,6,7,29,529,405,173,5,186,339,43,6,0,25,2009,"Allegany County, MD",NA,NA,NA,516,2,8,0,0,0,4,16
601,32,83,90,42,16,14,37,38,469,280,4,9,109,56,112,75,16,13,8,20,1,11,4,25,483,412,175,4,171,359,44,9,0,18,2010,"Allegany County, MD",NA,NA,NA,249,6,3,1,0,2,3,10
640,31,80,90,47,28,9,34,36,473,288,4,9,109,52,142,95,15,23,9,25,3,10,6,26,430,422,180,8,190,381,43,1,1,24,2011,"Allegany County, MD",NA,NA,NA,284,4,7,0,1,0,6,30
681,20,76,105,28,17,17,49,40,490,283,7,3,115,64,156,91,25,33,7,35,2,23,2,17,461,405,218,11,223,371,44,11,2,30,2012,"Allegany County, MD",NA,NA,NA,320,4,14,1,9,0,7,47
638,28,70,71,32,28,9,40,46,465,256,6,3,122,66,160,117,15,21,7,13,0,11,1,29,396,365,231,6,196,361,45,2,0,34,2013,"Allegany County, MD",NA,NA,NA,313,5,7,0,1,0,1,36
539,19,54,85,27,9,9,26,47,396,219,4,13,106,46,122,72,26,18,6,21,0,17,1,20,321,311,185,7,140,336,36,4,1,22,2014,"Allegany County, MD",NA,NA,NA,261,5,3,0,2,0,3,36
522,21,72,90,27,16,12,28,28,408,251,5,9,98,40,102,67,12,16,7,12,1,6,2,23,273,319,160,7,151,298,45,10,0,18,2015,"Allegany County, MD",NA,NA,NA,222,1,4,0,6,0,3,36
644,26,80,66,37,17,10,30,40,414,231,6,6,112,49,201,83,20,94,4,29,4,12,4,21,215,354,257,7,148,351,63,53,5,24,2016,"Allegany County, MD",NA,NA,NA,331,5,5,4,7,0,5,26
605,20,68,58,30,7,16,25,56,364,206,6,4,91,44,211,100,16,90,5,30,1,16,5,21,206,301,277,7,140,319,61,47,3,35,2017,"Allegany County, MD",NA,NA,NA,322,2,11,4,3,0,4,20
529,14,51,31,37,13,3,24,65,304,154,4,5,86,52,189,110,17,60,2,36,3,12,4,24,159,266,238,8,104,305,58,24,3,35,2018,"Allegany County, MD",NA,NA,NA,282,1,2,7,9,0,10,17
4371,218,711,779,346,154,81,286,334,3493,2571,17,69,502,258,763,556,88,89,30,112,14,63,23,244,3260,3098,1185,46,1390,2550,227,23,5,170,2006,"Anne Arundel County, MD",NA,NA,NA,2906,16,58,1,9,2,11,42
4651,260,773,734,333,163,118,308,388,3658,2603,43,62,539,323,880,627,106,122,25,112,13,53,18,331,2706,3275,1277,52,1494,2695,278,23,2,154,2007,"Anne Arundel County, MD",NA,NA,NA,3138,34,51,10,5,3,18,47
4722,262,807,734,338,152,96,338,339,3676,2465,60,57,573,431,898,620,129,118,31,145,8,73,24,318,2633,3373,1249,46,1549,2687,260,32,4,188,2008,"Anne Arundel County, MD",NA,NA,NA,3298,30,56,14,7,4,26,54
